,Follower_measure_x_follower,Follower_measure_y_follower,Leader_measure_x_leader,Leader_measure_y_leader,labels
46,0.4072152376174927,-0.6672584414482117,-0.0463503152132034,-0.8548070788383484,0.0
47,0.1603015959262848,-0.7915854454040527,-0.294207751750946,-0.9733465313911438,0.0
48,-0.0629786252975463,-0.919051468372345,-0.517335832118988,-1.150917649269104,0.0
49,-0.3000729382038116,-1.0771031379699707,-0.7487329840660095,-1.3155769109725952,0.0
50,-0.5238960385322571,-1.2180325984954834,-0.9384812116622924,-1.4171488285064695,0.0
51,-0.7362663149833679,-1.3214471340179443,-1.1377359628677368,-1.4525357484817505,0.0
52,-0.9378376603126526,-1.363849639892578,-1.3464643955230713,-1.400015354156494,0.0
53,-1.13489830493927,-1.3467317819595337,-1.547939658164978,-1.2878097295761108,0.0
54,-1.3158025741577148,-1.2950624227523804,-1.745009422302246,-1.160205960273743,0.0
55,-1.4059693813323977,-1.2101411819458008,-1.961265206336975,-0.9976358413696288,0.0
56,-1.450811743736267,-1.0723649263381958,-2.138325452804565,-0.7966543436050415,0.0
57,-1.4787224531173706,-0.8941739201545715,-2.2302067279815674,-0.5566415786743164,0.0
58,-1.4894156455993652,-0.644036591053009,-2.1681067943573,-0.2494544386863708,0.0
59,-1.4783046245574951,-0.3910730481147766,-1.9394769668579104,0.0228879749774932,0.0
60,-1.4705097675323486,-0.2004912793636322,-1.6640475988388062,0.2044980227947235,0.0
61,-1.455390214920044,-0.0922756046056747,-1.3953129053115845,0.3289341628551483,0.0
62,-1.473668932914734,-0.2499478161334991,-1.1531473398208618,0.4015510678291321,0.0
63,-1.465978980064392,-0.2682240605354309,-0.8967964053153992,0.3943294584751129,0.0
64,-1.3847979307174685,-0.2227999716997146,-0.6585887670516968,0.2977752685546875,0.0
65,-1.092218279838562,-0.0622164867818355,-0.4288240969181061,0.0908156707882881,0.0
66,-0.7926028370857239,-0.0763731375336647,-0.2788447439670563,-0.1737709492444992,0.0
67,-0.5931138396263123,-0.2022260427474975,-0.2101448625326156,-0.4722183346748352,0.0
68,-0.4452607333660126,-0.4015947580337524,-0.1910420656204223,-0.7858949303627014,0.0
69,-0.3598239123821258,-0.6416550874710083,-0.2450663596391677,-1.0167731046676636,0.0
70,-0.3868025541305542,-0.74838787317276,-0.4278038740158081,-1.2294145822525024,0.0
71,-0.5009125471115112,-0.9912145733833312,-0.6684096455574036,-1.3899022340774536,0.0
72,-0.6529414057731628,-1.138131022453308,-0.9212658405303956,-1.4574072360992432,0.0
73,-0.8406859636306763,-1.2223107814788818,-1.2337148189544678,-1.4156497716903689,0.0
74,-1.051345705986023,-1.2264825105667114,-1.4939868450164795,-1.3004964590072632,0.0
75,-1.2731682062149048,-1.1854654550552368,-1.7390639781951904,-1.1482917070388794,0.0
76,-1.4007362127304075,-1.09504497051239,-1.9478389024734497,-0.935404360294342,0.0
77,-1.44389545917511,-0.944086253643036,-2.1007564067840576,-0.6786810159683228,0.0
78,-1.4653031826019287,-0.7316897511482239,-2.1367721557617188,-0.4029013216495514,0.0
79,-1.469455599784851,-0.5035908222198486,-2.0345633029937744,-0.105046160519123,0.0
80,-1.4827409982681274,-0.2715320885181427,-1.80337655544281,0.1742990612983703,0.0
81,-1.4936180114746094,-0.0854870304465293,-1.530571460723877,0.3440599739551544,0.0
82,-1.5353230237960815,-0.1213932782411575,-1.2126235961914062,0.4124853312969208,0.0
83,-1.6015911102294922,-0.165701687335968,-0.8959640264511108,0.3515478670597076,0.0
84,-1.5561386346817017,-0.0383713766932487,-0.5916967988014221,0.1644856184720993,0.0
85,-1.2002670764923096,0.0173592958599329,-0.3584361672401428,-0.1031268835067749,0.0
86,-0.768366277217865,-0.1459596306085586,-0.2206405699253082,-0.4240168631076813,0.0
87,-0.5443164706230164,-0.3940181136131286,-0.178857997059822,-0.754867434501648,0.0
88,-0.4654771089553833,-0.6666199564933777,-0.2829154431819916,-1.0587029457092283,0.0
89,-0.5273060202598572,-0.888849675655365,-0.5314140915870667,-1.3050986528396606,0.0
90,-0.6730248928070068,-1.0136840343475342,-0.8428602814674377,-1.4268147945404053,0.0
91,-0.8732708692550659,-1.1534985303878784,-1.203058123588562,-1.4093728065490725,0.0
92,-1.117473602294922,-1.1797186136245728,-1.5159577131271362,-1.2893437147140503,0.0
93,-1.3448522090911863,-1.1076403856277466,-1.7728279829025269,-1.0901696681976318,0.0
94,-1.4430913925170898,-0.9890376925468444,-1.9915333986282349,-0.8662142157554626,0.0
95,-1.4576778411865234,-0.8114221096038818,-2.2548985481262207,-0.540343701839447,0.0
96,-1.443233609199524,-0.551989734172821,-2.5408172607421875,-0.2186928689479828,1.0
97,-1.4318811893463137,-0.2825359404087066,-2.802852153778076,0.0476032234728336,1.0
98,-1.4582141637802124,-0.0649596378207206,-2.9286370277404785,0.2427621334791183,1.0
99,-1.4981333017349243,0.0924712568521499,-2.91286563873291,0.4235249161720276,1.0
100,-1.5354251861572266,0.2601583898067474,-2.81645131111145,0.5353994965553284,1.0
101,-1.5654234886169434,0.3729233741760254,-2.596673011779785,0.4899324476718902,1.0
102,-1.559131383895874,0.4402148425579071,-2.325538158416748,0.2958365976810455,0.0
103,-1.496434450149536,0.3578783869743347,-2.105013370513916,0.0988461077213287,0.0
104,-1.4676059484481812,0.2531245946884155,-1.857815742492676,0.0583965703845024,0.0
105,-1.4205511808395386,0.2236174643039703,-1.6069458723068235,0.2027492374181747,0.0
106,-1.2465168237686155,0.1291407793760299,-1.39036762714386,0.4026669561862945,0.0
